SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6318978-570563	6318978	570563	3504038400	2015	1	14	6.4	0.121	0.179	19.1	0.303	154	14.5	0.127563	0.394931	0.2578
6318978-570563	6318978	570563	3506803200	2015	2	15	6.36	0.113	0.177	17.9	0.31	171	12.6	0.112769	0.401053	0.277485714
6318978-570563	6318978	570563	3509308800	2015	3	16	6.54	0.106	0.177	17.9	0.291	191	13	0.110769	0.367653	0.244657143
6318978-570563	6318978	570563	3511900800	2015	4	15	6.62	0.104	0.179	17.6	0.263	146	14.4	0.110563	0.383331	0.263771429
6318978-570563	6318978	570563	3514665600	2015	5	17	6.67	0.114	0.18	16.9	0.222	92	17.2	0.10546	0.35802	0.247428571
6318978-570563	6318978	570563	3517084800	2015	6	14	6.69	0.118	0.186	15	0.186	1.5	17.6	0.104842	0.351754	0.248292857
6318978-570563	6318978	570563	3520368000	2015	7	22	6.84	0.143	0.192	12.8	0.154	1.5	18.4	0.105224	0.368788	0.264992857
6318978-570563	6318978	570563	3522528000	2015	8	16	6.86	0.158	0.195	12.7	0.122	1.5	14.3	0.100915	0.330955	0.231492857
6318978-570563	6318978	570563	3525120000	2015	9	15	6.87	0.166	0.2	11.9	0.104	4	13.4	0.1004	0.3782	0.279114286
6318978-570563	6318978	570563	3527625600	2015	10	14	7.02	0.165	0.203	12.1	0.094	1.5	10.8	0.102091	0.366067	0.265492857
6318978-570563	6318978	570563	3530476800	2015	11	16	6.93	0.158	0.201	10.3	0.088	18	10.2	0.106297	0.345989	0.240014286
6318978-570563	6318978	570563	3532982400	2015	12	15	6.88	0.149	0.2	10.4	0.091	59	11.2	0.1124	0.357	0.241985714
6318978-570563	6318978	570563	3535488000	2016	1	13	6.71	0.15	0.203	10.4	0.088	82	8.5	0.126091	0.369467	0.239142857
6318978-570563	6318978	570563	3538252800	2016	2	14	6.65	0.131	0.196	9.5	0.095	135	8.5	0.121812	0.343244	0.213357143
6318978-570563	6318978	570563	3540758400	2016	3	14	6.67	0.12	0.197	10.6	0.118	159	9	0.135709	0.364133	0.218642857
6318978-570563	6318978	570563	3543782400	2016	4	18	6.8	0.126	0.202	12.1	0.121	100	12.5	0.149194	0.389578	0.234857143
6318978-570563	6318978	570563	3546115200	2016	5	15	6.83	0.138	0.209	11	0.107	12	15.6	0.158473	0.372801	0.215142857
6318978-570563	6318978	570563	3548707200	2016	6	14	6.88	0.147	0.215	10.6	0.097	1.5	14.6	0.157855	0.407135	0.250892857
6318978-570563	6318978	570563	3551558400	2016	7	17	7	0.168	0.217	10.5	0.072	1.5	17.2	0.147649	0.404913	0.258892857
6318978-570563	6318978	570563	3553977600	2016	8	14	7.11	0.194	0.23	10	0.062	1.5	17.5	0.13631	0.44247	0.307892857
6318978-570563	6318978	570563	3556569600	2016	9	13	6.99	0.209	0.23	9.6	0.053	1.5	11.3	0.13631	0.42047	0.285892857
6318978-570563	6318978	570563	3559420800	2016	10	16	7.01	0.206	0.22	9.7	0.048	6	9.9	0.13734	0.45158	0.315571429
6318978-570563	6318978	570563	3561840000	2016	11	13	6.33	0.108	0.21	14.1	0.146	153	14.2	0.22837	0.43269	0.195071429
6318978-570563	6318978	570563	3564518400	2016	12	14	6.44	0.099	0.21	13.6	0.159	113	11	0.17837	0.39069	0.205928571
6318978-570563	6318978	570563	3567283200	2017	1	15	6.33	0.1	0.23	16	0.196	130	10.8	0.20631	0.42947	0.215714286
6318978-570563	6318978	570563	3569961600	2017	2	15	6.33	0.105	0.23	15.7	0.208	151	10.1	0.20631	0.44847	0.233214286
6318978-570563	6318978	570563	3572294400	2017	3	14	6.46	0.104	0.21	14.4	0.176	160	8.9	0.17837	0.40969	0.221571429
6318978-570563	6318978	570563	3575232000	2017	4	17	6.58	0.114	0.23	13.5	0.15	98	11.3	0.18631	0.41747	0.226
6318978-570563	6318978	570563	3577564800	2017	5	14	6.69	0.115	0.23	13.6	0.128	3	15.1	0.20631	0.39647	0.191785714
6318978-570563	6318978	570563	3580070400	2017	6	12	6.8	0.122	0.24	12.5	0.101	1.5	18.3	0.20528	0.42936	0.225892857
6318978-570563	6318978	570563	3583008000	2017	7	16	6.83	0.14	0.25	11.8	0.072	1.5	14.6	0.20425	0.47025	0.267892857
6318978-570563	6318978	570563	3585427200	2017	8	13	6.88	0.178	0.25	11.3	0.068	1.5	12.6	0.18425	0.42825	0.245892857
6318978-570563	6318978	570563	3588105600	2017	9	13	6.96	0.202	0.25	10.2	0.06	4	11.9	0.17425	0.43725	0.264714286
6318978-570563	6318978	570563	3590870400	2017	10	15	6.93	0.183	0.25	9.8	0.06	16	11.4	0.18425	0.41725	0.233857143
6318978-570563	6318978	570563	3593376000	2017	11	13	6.55	0.135	0.25	10.5	0.079	46	10.4	0.22425	0.42025	0.194714286
6318978-570563	6318978	570563	3596400000	2017	12	18	6.48	0.118	0.24	12.9	0.174	110	11.3	0.20528	0.40736	0.196142857
7287288-644564	7287288	644564	2652393600	1988	1	19	6.66	0.131	0.02	3.1	0.018	27	4	0.04394	0.20378	0.158071429
7287288-644564	7287288	644564	2654812800	1988	2	16	6.46	0.131	0.02	2.7	0.023	42	8	0.04394	0.21378	0.167
7287288-644564	7287288	644564	2657145600	1988	3	14	6.63	0.136	0.019	2.7	0.019	60	14	0.046043	0.220891	0.170714286
7287288-644564	7287288	644564	2659824000	1988	4	14	6.91	0.131	0.021	2.4	0.019	75	4	0.044837	0.209669	0.159642857
7287288-644564	7287288	644564	2662588800	1988	5	16	6.83	0.138	0.02	2.6	0.021	65	4	0.04694	0.22578	0.174357143
7287288-644564	7287288	644564	2665612800	1988	6	20	6.64	0.11	0.02	3.9	0.025	15	6	0.03994	0.17578	0.134928571
7287288-644564	7287288	644564	2668636800	1988	7	25	6.86	0.153	0.022	3.4	0.01	7	11	0.050734	0.242558	0.1915
7287288-644564	7287288	644564	2670451200	1988	8	15	6.88	0.132	0.021	3.3	0.018	7	8	0.043837	0.204669	0.1605
7287288-644564	7287288	644564	2673561600	1988	9	20	6.74	0.129	0.019	3.5	0.029	8	10	0.039043	0.206891	0.167428571
7287288-644564	7287288	644564	2675894400	1988	10	17	6.7	0.121	0.019	3.3	0.029	14	9	0.043043	0.206891	0.163
7287288-644564	7287288	644564	2678486400	1988	11	16	6.66	0.144	0.02	3.1	0.024	15	6	0.03994	0.19278	0.151928571
7287288-644564	7287288	644564	2680905600	1988	12	14	6.76	0.137	0.021	3.7	0.026	22	8	0.045837	0.219669	0.172428571
7287288-644564	7287288	644564	2683843200	1989	1	17	6.68	0.148	0.021	3.6	0.02	23	6	0.041837	0.222669	0.179357143
7287288-644564	7287288	644564	2686780800	1989	2	20	6.66	0.144	0.025	3.1	0.022	33	6	0.049425	0.217225	0.165642857
7287288-644564	7287288	644564	2688768000	1989	3	15	6.64	0.149	0.022	3.8	0.019	65	6	0.048734	0.236558	0.183357143
7287288-644564	7287288	644564	2691878400	1989	4	20	6.56	0.145	0.023	2.5	0.019	65	11	0.040631	0.227447	0.182357143
7287288-644564	7287288	644564	2695420800	1989	5	31	6.75	0.113	0.022	4.6	0.024	32	11	0.050734	0.190558	0.137714286
7287288-644564	7287288	644564	2697148800	1989	6	20	6.5	0.116	0.029	4.7	0.023	8	10	0.042013	0.200781	0.158428571
7287288-644564	7287288	644564	2699136000	1989	7	13	6.86	0.119	0.019	5.2	0.018	6	8	0.038043	0.185891	0.147571429
7287288-644564	7287288	644564	2701900800	1989	8	14	6.87	0.125	0.019	4	0.019	3	8	0.044043	0.193891	0.149785714
7287288-644564	7287288	644564	2704665600	1989	9	15	6.97	0.125	0.021	6.3	0.016	2	8	0.049837	0.186669	0.136857143
7287288-644564	7287288	644564	2706739200	1989	10	9	6.95	0.131	0.02	3.3	0.014	3	9	0.03794	0.18078	0.142785714
7287288-644564	7287288	644564	2710368000	1989	11	20	7.03	0.135	0.024	2.9	0.013	17	6	0.042528	0.186336	0.142785714
7287288-644564	7287288	644564	2712441600	1989	12	14	7	0.123	0.018	2.6	0.014	16	5	0.047146	0.189002	0.140857143
7287288-644564	7287288	644564	2715206400	1990	1	15	6.68	0.136	0.02	2.9	0.014	12	10	0.04594	0.19478	0.148142857
7287288-644564	7287288	644564	2717625600	1990	2	12	6.64	0.14	0.021	2.2	0.014	23	7	0.042837	0.193669	0.149357143
7287288-644564	7287288	644564	2720044800	1990	3	12	6.6	0.143	0.018	2.4	0.016	27	6	0.047146	0.195002	0.146071429
7287288-644564	7287288	644564	2723155200	1990	4	17	6.71	0.143	0.021	2.6	0.017	49	6	0.046837	0.210669	0.1605
7287288-644564	7287288	644564	2725488000	1990	5	14	7.08	0.131	0.023	5.1	0.019	25	10	0.051631	0.192447	0.139214286
7287288-644564	7287288	644564	2728512000	1990	6	18	6.75	0.134	0.023	2.6	0.021	2	8	0.035631	0.172447	0.136857143
7287288-644564	7287288	644564	2730931200	1990	7	16	6.84	0.126	0.019	2.5	0.028	3	6	0.037043	0.177891	0.140785714
7287288-644564	7287288	644564	2733350400	1990	8	13	7.02	0.137	0.018	2.2	0.017	2	11	0.035146	0.175002	0.139857143
7287288-644564	7287288	644564	2736115200	1990	9	14	6.94	0.135	0.02	2.1	0.021	2	9	0.04794	0.18478	0.136857143
7287288-644564	7287288	644564	2738793600	1990	10	15	6.96	0.134	0.019	2	0.016	6	9	0.041043	0.173891	0.132571429
7287288-644564	7287288	644564	2741212800	1990	11	12	6.96	0.143	0.021	2.4	0.01	15	6	0.041837	0.192669	0.149928571
7287288-644564	7287288	644564	2744236800	1990	12	17	6.87	0.154	0.023	2.3	0.014	31	7	0.044631	0.201447	0.154785714
7287288-644564	7287288	644564	2746656000	1991	1	14	6.68	0.146	0.022	2.1	0.012	11	6	0.045734	0.201558	0.155214286
7287288-644564	7287288	644564	2749680000	1991	2	18	6.68	0.156	0.025	2	0.014	46	6	0.044425	0.205225	0.157714286
7287288-644564	7287288	644564	2752099200	1991	3	18	6.65	0.148	0.024	2.1	0.016	59	5	0.047528	0.215336	0.163785714
7287288-644564	7287288	644564	2754518400	1991	4	15	6.74	0.156	0.026	2.2	0.016	71	6	0.045322	0.231114	0.180928571
7287288-644564	7287288	644564	2756937600	1991	5	13	7.03	0.156	0.022	1.5	0.024	34	6	0.047734	0.220558	0.170571429
7287288-644564	7287288	644564	2759961600	1991	6	17	6.72	0.137	0.021	3.1	0.017	32	6	0.038837	0.189669	0.148714286
7287288-644564	7287288	644564	2762121600	1991	7	12	6.81	0.14	0.024	2.1	0.013	21	8	0.038528	0.194336	0.1545
7287288-644564	7287288	644564	2764800000	1991	8	12	6.86	0.129	0.021	2.3	0.021	25	6	0.037837	0.181669	0.142214286
7287288-644564	7287288	644564	2767824000	1991	9	16	6.88	0.131	0.021	2.5	0.014	2	8	0.044837	0.193669	0.148857143
7287288-644564	7287288	644564	2770329600	1991	10	15	7	0.136	0.018	2.3	0.012	3	5	0.039146	0.189002	0.149785714
7287288-644564	7287288	644564	2773267200	1991	11	18	6.89	0.135	0.02	1.9	0.015	3	8	0.04194	0.19078	0.148785714
7287288-644564	7287288	644564	2775686400	1991	12	16	6.76	0.142	0.021	2.1	0.016	10	9	0.042837	0.201669	0.158285714
7287288-644564	7287288	644564	2778105600	1992	1	13	6.7	0.151	0.022	2.4	0.013	10	6	0.039734	0.204558	0.164285714
7287288-644564	7287288	644564	2781129600	1992	2	17	6.65	0.151	0.02	2	0.015	36	5	0.04294	0.20678	0.161428571
7287288-644564	7287288	644564	2783548800	1992	3	16	6.72	0.149	0.023	1.8	0.014	81	6	0.044631	0.191447	0.141214286
7287288-644564	7287288	644564	2785968000	1992	4	13	6.67	0.144	0.022	2	0.015	30	6	0.042734	0.208558	0.163857143
7287288-644564	7287288	644564	2788473600	1992	5	12	6.92	0.148	0.024	1.3	0.013	35	8	0.042528	0.203336	0.1585
7287288-644564	7287288	644564	2791411200	1992	6	15	7.1	0.141	0.022	2.3	0.019	8	7	0.039734	0.185558	0.145428571
7287288-644564	7287288	644564	2793830400	1992	7	13	6.99	0.142	0.021	2.5	0.017	3	7	0.037837	0.186669	0.148785714
7287288-644564	7287288	644564	2796854400	1992	8	17	7	0.132	0.021	2	0.016	2	9	0.039837	0.172669	0.132857143
7287288-644564	7287288	644564	2799273600	1992	9	14	7	0.132	0.022	2.5	0.02	2	6	0.038734	0.180558	0.141857143
7287288-644564	7287288	644564	2801692800	1992	10	12	6.84	0.132	0.02	2.6	0.02	8	8	0.03694	0.17378	0.136428571
7287288-644564	7287288	644564	2804716800	1992	11	16	6.8	0.139	0.023	2.3	0.02	4	7	0.041631	0.193447	0.151714286
7287288-644564	7287288	644564	2807136000	1992	12	14	6.72	0.138	0.025	2.2	0.016	9	5	0.040425	0.193225	0.152357143
7287288-644564	7287288	644564	2810160000	1993	1	18	6.72	0.146	0.024	1.7	0.002	22	7	0.042528	0.209336	0.165428571
7287288-644564	7287288	644564	2812579200	1993	2	15	6.71	0.151	0.025	2	0.017	31	6	0.040425	0.203225	0.160785714
7287288-644564	7287288	644564	2814998400	1993	3	15	6.69	0.158	0.025	2.1	0.02	48	5	0.041425	0.213225	0.168571429
7287288-644564	7287288	644564	2817676800	1993	4	15	6.6	0.153	0.026	2	0.015	49	6	0.042322	0.216114	0.1705
7287288-644564	7287288	644564	2820441600	1993	5	17	6.93	0.14	0.025	2.3	0.035	38	9	0.036425	0.192225	0.153285714
7287288-644564	7287288	644564	2822860800	1993	6	14	7.03	0.126	0.021	2.7	0.025	4	6	0.033837	0.176669	0.142714286
7287288-644564	7287288	644564	2825539200	1993	7	15	7.09	0.128	0.024	2.5	0.022	2	8	0.036528	0.176336	0.139857143
7287288-644564	7287288	644564	2828304000	1993	8	16	7.07	0.13	0.025	2.4	0.017	4	7	0.036425	0.180225	0.143714286
7287288-644564	7287288	644564	2830723200	1993	9	13	6.97	0.137	0.025	2.7	0.024	9	7	0.038425	0.179225	0.140357143
7287288-644564	7287288	644564	2833747200	1993	10	18	6.88	0.133		2.5	0.022	2	7			
7287288-644564	7287288	644564	2836339200	1993	11	17	6.94	0.143	0.027	2.5	0.019	6	7	0.038219	0.199003	0.160571429
7287288-644564	7287288	644564	2838585600	1993	12	13	6.8	0.151	0.03	2.2	0.017	8	7	0.03991	0.20067	0.160428571
7287288-644564	7287288	644564	2841609600	1994	1	17	6.69	0.153	0.031	2.3	0.019	26	7	0.040807	0.202559	0.160142857
7287288-644564	7287288	644564	2844028800	1994	2	14	6.67	0.144	0.031	2.7	0.02	28	8	0.039807	0.194559	0.153
7287288-644564	7287288	644564	2847657600	1994	3	28	6.76	0.153	0.033	2.1	0.013	50	8	0.040601	0.200337	0.156428571
7287288-644564	7287288	644564	2849472000	1994	4	18	6.76	0.156	0.032	1.7	0.015	56	8	0.040704	0.199448	0.155
7287288-644564	7287288	644564	2851891200	1994	5	16	7.05	0.131	0.032	2.6	0.025	32	8	0.036704	0.179448	0.140714286
7287288-644564	7287288	644564	2854310400	1994	6	13	6.96	0.122	0.029	2.1	0.028	2	7	0.035013	0.162781	0.127857143
7287288-644564	7287288	644564	2857334400	1994	7	18	7.13	0.128	0.027	2.2	0.025	5	7	0.036219	0.173003	0.136642857
7287288-644564	7287288	644564	2859753600	1994	8	15	7.21	0.134	0.029	2.3	0.013	3	7	0.036013	0.172781	0.136785714
7287288-644564	7287288	644564	2862172800	1994	9	12	7.1	0.138	0.03	2.4	0.011	2	8	0.03791	0.17867	0.140857143
7287288-644564	7287288	644564	2865196800	1994	10	17	7.02	0.137	0.032	2.6	0.008	2	10	0.035704	0.177448	0.141857143
7287288-644564	7287288	644564	2867616000	1994	11	14	7.02	0.152	0.034	2.3	0.013	6	10	0.039498	0.194226	0.154571429
7287288-644564	7287288	644564	2870035200	1994	12	12	6.79	0.151	0.032	2.3	0.009	7	7	0.038704	0.199448	0.1605
7287288-644564	7287288	644564	2873059200	1995	1	16	6.74	0.152	0.034	2	0.007	15	5	0.041498	0.201226	0.158928571
7287288-644564	7287288	644564	2875478400	1995	2	13	6.74	0.153	0.033	2.1	0.013	14	6	0.039601	0.200337	0.16
7287288-644564	7287288	644564	2877897600	1995	3	13	6.64	0.151	0.035	1.9	0.012	25	9	0.040395	0.201115	0.159214286
7287288-644564	7287288	644564	2881008000	1995	4	18	6.84	0.152	0.037	1.6	0.013	44	5	0.037189	0.198893	0.158857143
7287288-644564	7287288	644564	2883340800	1995	5	15	6.92	0.151	0.036	1.9	0.021	44	9	0.040292	0.211004	0.167857143
7287288-644564	7287288	644564	2886364800	1995	6	19	6.94	0.119	0.032	2.6	0.029	21	9	0.035704	0.163448	0.1265
7287288-644564	7287288	644564	2888784000	1995	7	17	7.08	0.124	0.03	2.4	0.025	5	6	0.03691	0.17167	0.134642857
7287288-644564	7287288	644564	2891203200	1995	8	14	7.13	0.123	0.029	3.3	0.025	2	7	0.036013	0.171781	0.135857143
7287288-644564	7287288	644564	2893622400	1995	9	11	7.27	0.129	0.03	2.2	0.019	11	11	0.03991	0.17767	0.137214286
7287288-644564	7287288	644564	2896646400	1995	10	16	7.11	0.13	0.031	2.3	0.016	10	8	0.035807	0.179559	0.143285714
7287288-644564	7287288	644564	2899065600	1995	11	13	6.75	0.131	0.034	2.2	0.017	11	6	0.039498	0.178226	0.138214286
7287288-644564	7287288	644564	2902089600	1995	12	18	6.86	0.143	0.035	2.1	0.014	13	6	0.040395	0.198115	0.157071429
7287288-644564	7287288	644564	2904508800	1996	1	15	6.78	0.145	0.035	2	0.016	20	5	0.040395	0.195115	0.153571429
7287288-644564	7287288	644564	2907532800	1996	2	19	7	0.146	0.037	1.6	0.017	29	6	0.043189	0.201893	0.156928571
7287288-644564	7287288	644564	2909347200	1996	3	11	6.76	0.155	0.041	1.6	0.013	66	10	0.045777	0.208449	0.158285714
7287288-644564	7287288	644564	2912371200	1996	4	15	6.8	0.161	0.036	3.6	0.012	56	6	0.044292	0.215004	0.167
7287288-644564	7287288	644564	2914790400	1996	5	13	6.74	0.166	0.042	2	0.021	46	6	0.046674	0.230338	0.180714286
7287288-644564	7287288	644564	2917814400	1996	6	17	7.16	0.118	0.033	2	0.023	13	6	0.034601	0.161337	0.126071429
7287288-644564	7287288	644564	2920233600	1996	7	15	7.14	0.125	0.03	2.8	0.019	4	7	0.03291	0.17367	0.140714286
7287288-644564	7287288	644564	2922652800	1996	8	12	7.15	0.122	0.031	2.1	0.019	5	4	0.034807	0.174559	0.139642857
7287288-644564	7287288	644564	2925676800	1996	9	16	7.11	0.126	0.034	2.2	0.012	12	5	0.037498	0.179226	0.141142857
7287288-644564	7287288	644564	2928096000	1996	10	14	6.98	0.122	0.031	2.7	0.015	22	5	0.034807	0.168559	0.132428571
7287288-644564	7287288	644564	2931120000	1996	11	18	6.91	0.126	0.031	2.6	0.018	8	4	0.034807	0.172559	0.137428571
7287288-644564	7287288	644564	2933539200	1996	12	16	6.85	0.127	0.032	2	0.014	7	4	0.037704	0.181448	0.1435
7287288-644564	7287288	644564	2935958400	1997	1	13	6.84	0.137	0.033	2.9	0.015	7	7	0.036601	0.183337	0.1465
7287288-644564	7287288	644564	2938982400	1997	2	17	6.75	0.145	0.036	2.7	0.012	26	5	0.038292	0.188004	0.148142857
7287288-644564	7287288	644564	2941401600	1997	3	17	6.74	0.144	0.035	2.6	0.007	41	6	0.042395	0.195115	0.150071429
7287288-644564	7287288	644564	2943820800	1997	4	14	6.76	0.149	0.039	2	0.02	51	5	0.037983	0.204671	0.163357143
7287288-644564	7287288	644564	2946240000	1997	5	12	6.79	0.149	0.038	2	0.018	47	6	0.040086	0.211782	0.168642857
7287288-644564	7287288	644564	2949264000	1997	6	16	7.08	0.13	0.033	2.4	0.019	8	6	0.034601	0.170337	0.135428571
7287288-644564	7287288	644564	2951683200	1997	7	14	7.11	0.123	0.031	3.4	0.028	1	5	0.032807	0.173559	0.140928571
7287288-644564	7287288	644564	2954707200	1997	8	18	7.17	0.127	0.03	2.6	0.01	2	6	0.03591	0.18767	0.151857143
7287288-644564	7287288	644564	2957126400	1997	9	15	7.08	0.132	0.028	2.6	0.018	2	7	0.035116	0.185892	0.150857143
7287288-644564	7287288	644564	2960150400	1997	10	20	7.01	0.132	0.032	2.4	0.013	2	4	0.036704	0.190448	0.153857143
7287288-644564	7287288	644564	2962569600	1997	11	17	6.82	0.14	0.034	2.5	0.037	5	4	0.037498	0.196226	0.158642857
7287288-644564	7287288	644564	2964988800	1997	12	15	6.93	0.14	0.034	2.9	0.015	1	5	0.038498	0.192226	0.153928571
7287288-644564	7287288	644564	2967408000	1998	1	12	6.72	0.142	0.034	2.1	0.015	7	4	0.038498	0.195226	0.1565
7287288-644564	7287288	644564	2970432000	1998	2	16	6.81	0.146	0.036	1.9	0.014	15	4	0.039292	0.196004	0.155928571
7287288-644564	7287288	644564	2972851200	1998	3	16	6.8	0.133	0.035	1.9	0.019	31	3	0.038395	0.199115	0.158785714
7287288-644564	7287288	644564	2975356800	1998	4	14	6.75	0.147	0.037	2	0.012	25	7	0.040189	0.193893	0.152214286
7287288-644564	7287288	644564	2978294400	1998	5	18	6.96	0.13	0.035	2.4	0.029	38	4	0.037395	0.187115	0.147285714
7287288-644564	7287288	644564	2980800000	1998	6	16	6.98	0.109	0.03	3.1	0.02	8	6	0.03291	0.16467	0.131428571
7287288-644564	7287288	644564	2983132800	1998	7	13	6.98	0.119	0.029	3.2	0.022	3	6	0.035013	0.163781	0.128785714
7287288-644564	7287288	644564	2986156800	1998	8	17	6.92	0.111	0.028	2.9	0.03	17	6	0.033116	0.162892	0.128785714
7287288-644564	7287288	644564	2988748800	1998	9	16	7.02	0.12	0.028	3.1	0.011	6	3	0.033116	0.169892	0.136571429
7287288-644564	7287288	644564	2991168000	1998	10	14	7.07	0.117	0.029	3.4	0.028	10	5	0.034013	0.172781	0.138285714
7287288-644564	7287288	644564	2994019200	1998	11	16	6.92	0.127	0.028	3	0.03	11	5	0.035116	0.179892	0.144214286
7287288-644564	7287288	644564	2996438400	1998	12	14	6.8	0.132	0.032	3.1	0.029	7	3	0.036704	0.183448	0.1465
7287288-644564	7287288	644564	2998857600	1999	1	11	6.74	0.134	0.032	2.8	0.03	29	4	0.036704	0.199448	0.160928571
7287288-644564	7287288	644564	3001881600	1999	2	15	6.74	0.139	0.03	2.6	0.03	26	5	0.03491	0.19467	0.158142857
7287288-644564	7287288	644564	3004300800	1999	3	15	6.62	0.137	0.032	2.3	0.03	41	7	0.037704	0.187448	0.147071429
7287288-644564	7287288	644564	3006720000	1999	4	12	6.62	0.139	0.033	1.5	0.026	60	4	0.036601	0.194337	0.153714286
7287288-644564	7287288	644564	3009744000	1999	5	17	6.61	0.125	0.032	2.1	0.025	49	5	0.037704	0.187448	0.1465
7287288-644564	7287288	644564	3012163200	1999	6	14	6.98	0.119	0.028	2.6	0.026	10	8	0.032116	0.161892	0.129285714
7287288-644564	7287288	644564	3014582400	1999	7	12	6.73	0.114	0.029	3.6	0.033	3	4	0.030013	0.167781	0.137785714
7287288-644564	7287288	644564	3018211200	1999	8	23	6.66	0.121	0.024	2.7	0.031	1	5	0.031528	0.172336	0.140928571
7287288-644564	7287288	644564	3020025600	1999	9	13	7.07	0.122	0.029	2.9	0.021	1	4	0.033013	0.163781	0.130928571
7287288-644564	7287288	644564	3023049600	1999	10	18	6.93	0.127	0.028	2.7	0.025	6	4	0.034116	0.169892	0.135571429
7287288-644564	7287288	644564	3026332800	1999	11	25	6.98	0.125	0.027	2.5	0.022	8	4	0.034219	0.165003	0.130428571
7287288-644564	7287288	644564	3027888000	1999	12	13	6.9	0.135	0.03	2.7	0.018	5	3	0.03591	0.17667	0.140642857
7287288-644564	7287288	644564	3030912000	2000	1	17	6.87	0.133	0.029	3.2	0.023	16	4	0.036013	0.181781	0.144857143
7287288-644564	7287288	644564	3033331200	2000	2	14	6.81	0.137	0.03	2.4	0.021	17	7	0.03891	0.18367	0.143785714
7287288-644564	7287288	644564	3035750400	2000	3	13	6.75	0.134	0.03	2.3	0.023	28	5	0.03591	0.19267	0.155
7287288-644564	7287288	644564	3038169600	2000	4	10	6.66	0.141	0.032	2.3	0.017	50	3	0.036704	0.191448	0.151428571
